job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Scientist,Sr. Data Scientist (NLP) - Full-time / Part-time,"Dallas, TX",via Snagajob,Full-time,False,"Texas, United States",2023-03-13 13:07:03,False,True,United States,,,,MCKESSON,"['python', 'azure', 'databricks', 'pyspark', 'pandas', 'hadoop', 'spark', 'nltk']","{'cloud': ['azure', 'databricks'], 'libraries': ['pyspark', 'pandas', 'hadoop', 'spark', 'nltk'], 'programming': ['python']}"
Data Engineer,Data Engineer,"County Westmeath, Ireland",via Indeed,Full-time,False,Ireland,2023-06-26 13:54:47,False,False,Ireland,,,,Eolas Recruitment,"['sql', 'python', 'r', 'azure', 'databricks', 'pyspark', 'flow']","{'cloud': ['azure', 'databricks'], 'libraries': ['pyspark'], 'other': ['flow'], 'programming': ['sql', 'python', 'r']}"
Data Analyst,Data Analyst als Marketing Manager Automation (W/D/M),"Erlangen, Germany",via Central Illinois Proud Jobs,Full-time,False,Germany,2023-02-23 13:31:28,True,False,Germany,,,,DEFACTO GmbH,['sap'],{'analyst_tools': ['sap']}
Data Engineer,Data Engineer - Royal Canin,"St Charles, MO",via My ArkLaMiss Jobs,Full-time,False,"California, United States",2023-02-17 13:10:21,True,True,United States,,,,Mars,"['python', 'sql', 'neo4j', 'databricks', 'azure', 'spark', 'pyspark', 'flask']","{'cloud': ['databricks', 'azure'], 'databases': ['neo4j'], 'libraries': ['spark', 'pyspark'], 'programming': ['python', 'sql'], 'webframeworks': ['flask']}"
Data Analyst,Data Analyst,"Des Moines, IA",via Trabajo.org,Full-time,False,"Illinois, United States",2023-11-06 13:01:22,False,True,United States,,,,Assuredpartners,,
Data Engineer,Data Engineer III - Now Hiring,"Boston, MA",via Snagajob,Full-time,False,"Illinois, United States",2023-07-10 13:08:19,False,True,United States,,,,American Family Mutual Insurance Company,"['python', 'sql', 'nosql', 'aws', 'gcp', 'azure', 'spark', 'hadoop', 'docker', 'terraform', 'jenkins', 'git']","{'cloud': ['aws', 'gcp', 'azure'], 'libraries': ['spark', 'hadoop'], 'other': ['docker', 'terraform', 'jenkins', 'git'], 'programming': ['python', 'sql', 'nosql']}"
Data Analyst,Data Quality and Governance Analyst 1,India,via Trabajo.org,Full-time,False,India,2023-07-23 13:24:57,False,False,India,,,,"Jones Lang LaSalle IP, Inc","['sql', 'python', 'databricks', 'power bi', 'excel', 'word', 'powerpoint']","{'analyst_tools': ['power bi', 'excel', 'word', 'powerpoint'], 'cloud': ['databricks'], 'programming': ['sql', 'python']}"
Data Engineer,Data Engineer,"Fort Worth, TX",via LinkedIn,Full-time,False,"Texas, United States",2023-01-25 13:24:01,False,False,United States,,,,Programmers.io,"['sql', 'python']","{'programming': ['sql', 'python']}"
Data Scientist,"Data Scientist, Data Strategy and Analytics","Alameda, CA",via Trabajo.org,Full-time,False,"California, United States",2023-04-26 13:05:10,False,False,United States,,,,Abbott,,
Data Scientist,Data Scientist I,"Paris, KY",via Jobs By Care,Full-time,False,Georgia,2023-11-13 14:59:39,False,False,United States,,,,Appalachian Regional Healthcare,"['r', 'sql', 'python', 'scala', 'java', 'c++', 'hadoop', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['hadoop'], 'programming': ['r', 'sql', 'python', 'scala', 'java', 'c++']}"
Senior Data Engineer,"Senior Data Engineer(Python)-1563,1637&1633","Chennai, Tamil Nadu, India",via HR Software For Growing Businesses | Freshteam,Full-time,False,India,2023-11-10 13:30:41,True,False,India,,,,CESIT,"['python', 'sql', 'aws', 'pyspark', 'docker', 'jira']","{'async': ['jira'], 'cloud': ['aws'], 'libraries': ['pyspark'], 'other': ['docker'], 'programming': ['python', 'sql']}"
Senior Data Engineer,Sr SQL Database Engineer with Data Warehouse / Data Modeling,,via LinkedIn,Contractor,False,"Texas, United States",2023-09-13 13:06:55,True,False,United States,hour,,97.5,Phaxis,"['sql', 'sql server']","{'databases': ['sql server'], 'programming': ['sql']}"
Data Scientist,Binance Accelerator Program - Data Scientist (Risk Management),Singapore,via LinkedIn,Contractor,False,Singapore,2023-04-12 13:53:26,False,False,Singapore,,,,Binance,"['python', 'java', 'scala']","{'programming': ['python', 'java', 'scala']}"
Senior Data Analyst,Senior Data Analyst,"Leeds, UK",via My Stateline Jobs,Full-time,False,United Kingdom,2023-05-30 13:14:08,True,False,United Kingdom,,,,Corecom Consulting,"['sql', 'python']","{'programming': ['sql', 'python']}"
Data Analyst,"Data Analyst (Bangkok Based, relocation provided)","Rome, Metropolitan City of Rome Capital, Italy",via LinkedIn,Full-time,False,Italy,2023-10-30 13:13:21,False,False,Italy,,,,Agoda,"['sas', 'sas', 'r', 'python', 'vba', 'sql', 'java', 'sql server', 'pandas', 'spss', 'tableau', 'excel', 'power bi']","{'analyst_tools': ['sas', 'spss', 'tableau', 'excel', 'power bi'], 'databases': ['sql server'], 'libraries': ['pandas'], 'programming': ['sas', 'r', 'python', 'vba', 'sql', 'java']}"
Senior Data Engineer,Senior Data Engineering,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",via Trabajo.org,Full-time,False,Malaysia,2023-05-06 14:15:59,True,False,Malaysia,,,,Agensi Pekerjaan BTC Sdn Bhd,"['sql', 'python', 'scala', 'nosql', 'java', 'c', 'spark', 'hadoop', 'kafka', 'power bi', 'microstrategy', 'cognos', 'sap']","{'analyst_tools': ['power bi', 'microstrategy', 'cognos', 'sap'], 'libraries': ['spark', 'hadoop', 'kafka'], 'programming': ['sql', 'python', 'scala', 'nosql', 'java', 'c']}"
Cloud Engineer,Lead Qa Engineer,"Ciudad Nezahualcóyotl, State of Mexico, Mexico",via BeBee,Full-time,False,Mexico,2023-11-11 14:06:06,False,False,Mexico,,,,Zipdev,"['javascript', 'python', 'gcp', 'aws', 'selenium']","{'cloud': ['gcp', 'aws'], 'libraries': ['selenium'], 'programming': ['javascript', 'python']}"
Senior Data Scientist,Data Senior H/F,"Neuilly-Plaisance, France",via BeBee,Full-time,False,France,2023-09-16 13:21:00,False,False,France,,,,Sage,['excel'],{'analyst_tools': ['excel']}
Machine Learning Engineer,Sr ML Engineer - Research & NLP (Remote),"Toronto, ON, Canada",via Careers At BenchSci,Full-time,False,Canada,2023-08-24 13:40:48,False,False,Canada,,,,BenchSci,"['python', 'sql', 'pytorch', 'pandas']","{'libraries': ['pytorch', 'pandas'], 'programming': ['python', 'sql']}"
Senior Data Engineer,Senior Data Engineer,Anywhere,via LinkedIn,Contractor,True,"Illinois, United States",2023-06-21 13:09:39,False,False,United States,hour,,72.5,Aditi Consulting,"['python', 'java', 'aws', 'databricks', 'spark']","{'cloud': ['aws', 'databricks'], 'libraries': ['spark'], 'programming': ['python', 'java']}"
Data Scientist,Data Scientist SME or Program Manager,"Austin, TX",via LinkedIn,Contractor,False,"Texas, United States",2023-11-16 13:03:10,False,False,United States,,,,Mavinsys,"['sql', 'html', 'css', 'javascript', 'lua', 'redshift', 'snowflake', 'databricks', 'linux', 'tableau', 'git']","{'analyst_tools': ['tableau'], 'cloud': ['redshift', 'snowflake', 'databricks'], 'os': ['linux'], 'other': ['git'], 'programming': ['sql', 'html', 'css', 'javascript', 'lua']}"
Data Engineer,Data Engineer,"San Mateo, CA",via LinkedIn,Full-time,False,"California, United States",2023-01-28 13:07:30,False,True,United States,,,,Verkada,"['sql', 'python', 'aws', 'looker']","{'analyst_tools': ['looker'], 'cloud': ['aws'], 'programming': ['sql', 'python']}"
Data Engineer,Data and Analytics Engineer,"San Antonio, TX",via Trabajo.org,Full-time,False,"Texas, United States",2023-09-15 13:07:12,False,False,United States,,,,PwC,"['snowflake', 'spark', 'hadoop', 'tableau', 'qlik']","{'analyst_tools': ['tableau', 'qlik'], 'cloud': ['snowflake'], 'libraries': ['spark', 'hadoop']}"
Data Scientist,Data Scientist,"São Paulo, State of São Paulo, Brazil",via BeBee,Full-time,False,Brazil,2023-01-03 23:02:27,False,False,Brazil,,,,Mars,"['python', 'sql', 'azure']","{'cloud': ['azure'], 'programming': ['python', 'sql']}"
Senior Data Scientist,Principal Statistical Scientist,Anywhere,via LinkedIn,Full-time,True,Ireland,2023-01-31 13:54:44,False,False,Ireland,,,,Thermo Fisher Scientific,,
Data Engineer,Data Engineer,"Montevideo, Montevideo Department, Uruguay",via LinkedIn Uruguay,Full-time,False,Uruguay,2023-08-24 14:07:42,True,False,Uruguay,,,,Eightroom,"['sql', 'mysql', 'postgresql', 'sql server', 'aws', 'azure', 'power bi', 'tableau']","{'analyst_tools': ['power bi', 'tableau'], 'cloud': ['aws', 'azure'], 'databases': ['mysql', 'postgresql', 'sql server'], 'programming': ['sql']}"
Senior Data Scientist,Senior Data Scientist,"Paris, France",via Emplois Trabajo.org,Full-time,False,France,2023-01-14 13:14:25,False,False,France,,,,Europcar Mobility Group,"['python', 'aws', 'gcp']","{'cloud': ['aws', 'gcp'], 'programming': ['python']}"
Data Engineer,Data Engineer with Dremio Experience,"Toronto, ON, Canada",via LinkedIn,Contractor,False,Canada,2023-08-28 13:35:13,True,False,Canada,,,,Iris Software Inc.,"['sql', 'hadoop', 'kubernetes']","{'libraries': ['hadoop'], 'other': ['kubernetes'], 'programming': ['sql']}"
Business Analyst,Business Intelligence Intern,"Dallas, TX",via LinkedIn,Full-time,False,"Texas, United States",2023-01-04 13:02:07,False,False,United States,,,,Copart,"['r', 'python', 'sql', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'programming': ['r', 'python', 'sql']}"
Data Engineer,Data Engineer,"Cincinnati, OH",via SimplyHired,Full-time,False,"Texas, United States",2023-01-22 13:08:53,False,False,United States,,,,Divisions Maintenance Group,"['sql', 'nosql', 'python', 'java', 'c++', 'scala', 'cassandra', 'hadoop', 'spark', 'kafka']","{'databases': ['cassandra'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'nosql', 'python', 'java', 'c++', 'scala']}"
Data Scientist,Data Scientist,"Austin, TX",via BeBee,Full-time,False,Sudan,2023-02-17 14:01:39,False,True,Sudan,,,,ClosedLoop,"['python', 'go']","{'programming': ['python', 'go']}"
Data Engineer,Full Stack Data Engineer,"Limerick, Ireland",via Trabajo.org,Full-time,False,Ireland,2023-02-12 13:53:18,True,False,Ireland,,,,Qptech Ltd,"['sql', 'mongodb', 'mongodb', 'python', 'dynamodb', 'azure', 'aws', 'hadoop', 'gdpr', 'jenkins', 'docker', 'kubernetes']","{'cloud': ['azure', 'aws'], 'databases': ['mongodb', 'dynamodb'], 'libraries': ['hadoop', 'gdpr'], 'other': ['jenkins', 'docker', 'kubernetes'], 'programming': ['sql', 'mongodb', 'python']}"
Senior Data Analyst,Senior Data Analyst,"Berlin, Germany",via BeBee,Full-time,False,Germany,2023-11-25 13:13:39,True,False,Germany,,,,Stepstone GmbH,,
Data Engineer,System Reliability Engineer (Big Data),Missouri,via SmartRecruiters Job Search,Full-time,False,"California, United States",2023-06-16 13:43:03,True,False,United States,,,,Fulcrum Digital Inc.,"['sql', 'hadoop', 'spark', 'jenkins', 'chef', 'flow']","{'libraries': ['hadoop', 'spark'], 'other': ['jenkins', 'chef', 'flow'], 'programming': ['sql']}"
Business Analyst,BI Engineer,Namibia,via Intellijobs.ai,Full-time,False,Namibia,2023-03-05 14:10:49,False,False,Namibia,,,,Innover,"['sql', 'gcp', 'looker', 'tableau']","{'analyst_tools': ['looker', 'tableau'], 'cloud': ['gcp'], 'programming': ['sql']}"
Data Analyst,Stage - Data Analyste Finance H/F,"Paris, France",via Emplois Trabajo.org,Full-time and Internship,False,France,2023-11-07 13:37:53,False,False,France,,,,Kepler Cheuvreux,['excel'],{'analyst_tools': ['excel']}
Data Analyst,Sr. Research Data Analyst,"Baltimore, MD",via ZipRecruiter,Full-time,False,"New York, United States",2023-03-24 13:01:00,False,False,United States,,,,Johns Hopkins Medicine,"['r', 'zoom']","{'programming': ['r'], 'sync': ['zoom']}"
Software Engineer,Software Engineer in Data Warehouse,"Tallinn, Estonia",via LinkedIn Estonia,Full-time,False,Estonia,2023-01-17 13:36:23,False,False,Estonia,,,,Swedbank,['sql'],{'programming': ['sql']}
Senior Data Scientist,Sr Principal Data Scientist/ML Engineer,"Little Rock, AR",via Trabajo.org,Full-time,False,Sudan,2023-06-17 14:10:13,False,True,Sudan,,,,Oracle,"['python', 'go', 'oracle', 'scikit-learn', 'tensorflow', 'pytorch']","{'cloud': ['oracle'], 'libraries': ['scikit-learn', 'tensorflow', 'pytorch'], 'programming': ['python', 'go']}"
Business Analyst,Business Analyst,"Tel Aviv-Yafo, Israel",via Comeet,Full-time,False,Israel,2023-09-05 13:50:12,False,False,Israel,,,,ironSource,"['sql', 'excel']","{'analyst_tools': ['excel'], 'programming': ['sql']}"
Software Engineer,Performance Analyst,"Budapest, Hungary",via LinkedIn Hungary,Full-time,False,Hungary,2023-05-16 13:25:17,True,False,Hungary,,,,Diageo,['power bi'],{'analyst_tools': ['power bi']}
Data Analyst,Entry level / Systems Data Analyst (Remote),Anywhere,via LinkedIn,Contractor,True,"Illinois, United States",2023-06-16 13:18:22,True,True,United States,,,,Soft Magic,"['word', 'excel', 'powerpoint', 'outlook']","{'analyst_tools': ['word', 'excel', 'powerpoint', 'outlook']}"
Data Analyst,Data Entry/Economic Data Analyst,"Worcester, UK",via BeBee,Full-time,False,United Kingdom,2023-11-01 13:11:18,False,False,United Kingdom,,,,ttgTalentSolutions,"['sql', 'r', 'python', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'programming': ['sql', 'r', 'python']}"
Data Scientist,Data Scientist,"Villach, Austria",via Jobs Trabajo.org,Full-time and Part-time,False,Austria,2023-11-22 13:22:56,False,False,Austria,,,,Infineon Technologies AG,"['perl', 'python', 'sql', 'r', 'matlab', 'javascript', 'linux', 'git', 'jira']","{'async': ['jira'], 'os': ['linux'], 'other': ['git'], 'programming': ['perl', 'python', 'sql', 'r', 'matlab', 'javascript']}"
Data Analyst,Data Analyst - 14785091749,Anywhere,via Jobgether,Full-time,True,Philippines,2023-08-26 13:13:26,False,False,Philippines,,,,Support Shepherd,"['sql', 'python', 'r', 'excel', 'tableau', 'power bi']","{'analyst_tools': ['excel', 'tableau', 'power bi'], 'programming': ['sql', 'python', 'r']}"
Data Engineer,Data Engineer,"Arlington, VA",via LinkedIn,Full-time,False,Sudan,2023-06-26 14:22:54,False,False,Sudan,year,140000.0,,Intelletec,"['mongodb', 'mongodb', 'python', 'r', 'sql', 'mysql', 'mariadb', 'oracle', 'spark', 'tableau', 'kubernetes']","{'analyst_tools': ['tableau'], 'cloud': ['oracle'], 'databases': ['mongodb', 'mysql', 'mariadb'], 'libraries': ['spark'], 'other': ['kubernetes'], 'programming': ['mongodb', 'python', 'r', 'sql']}"
Senior Data Scientist,Senior Data Expert,"Berlin, Germany",via Jobs Trabajo.org,Full-time,False,Germany,2023-10-27 13:13:25,False,False,Germany,,,,SIXT Germany,"['sql', 'excel', 'looker', 'sap']","{'analyst_tools': ['excel', 'looker', 'sap'], 'programming': ['sql']}"
Data Analyst,Data Analyst/Report Writer,"Austin, TX",via Jobs Trabajo.org,Full-time,False,"Texas, United States",2023-08-07 13:18:27,True,False,United States,,,,Nesco Resource,"['sas', 'sas', 'word', 'excel']","{'analyst_tools': ['sas', 'word', 'excel'], 'programming': ['sas']}"
Data Engineer,Director - Enterprise Architecture and Data Engineering,"Chennai, Tamil Nadu, India",via Indeed,Full-time,False,India,2023-05-11 13:20:16,False,False,India,,,,Ford Motor Company,"['gcp', 'graphql', 'kubernetes']","{'cloud': ['gcp'], 'libraries': ['graphql'], 'other': ['kubernetes']}"
Data Analyst,Business Data Analyst,"Regina, SK, Canada",via ZipRecruiter,Full-time,False,Canada,2023-03-01 13:28:04,False,False,Canada,,,,027 Parks Culture and Sport,,
Data Engineer,Cbi Application Data Design Engineer,Singapore,via BeBee Singapore,Full-time,False,Singapore,2023-12-24 13:17:39,False,False,Singapore,,,,Siemens,,
Software Engineer,Senior DevOps Engineer,Egypt  (+1 other),via Levels.fyi,Full-time,False,Egypt,2023-11-01 13:13:36,False,False,Egypt,,,,2U,"['bash', 'python', 'aws', 'linux', 'splunk', 'github', 'jenkins', 'kubernetes', 'docker', 'ansible', 'terraform']","{'analyst_tools': ['splunk'], 'cloud': ['aws'], 'os': ['linux'], 'other': ['github', 'jenkins', 'kubernetes', 'docker', 'ansible', 'terraform'], 'programming': ['bash', 'python']}"
Data Scientist,Data Science,Brazil,via BeBee,Full-time,False,Brazil,2023-01-23 13:20:12,False,False,Brazil,,,,Pfizer,"['python', 'r', 'sql', 'javascript', 'aws', 'snowflake', 'react', 'airflow', 'angular', 'git', 'jenkins', 'kubernetes']","{'cloud': ['aws', 'snowflake'], 'libraries': ['react', 'airflow'], 'other': ['git', 'jenkins', 'kubernetes'], 'programming': ['python', 'r', 'sql', 'javascript'], 'webframeworks': ['angular']}"
